Scheduler,Throughput
PF,1.2448
PF,1.20752
PF,1.2448
PF,1.28368
PF,1.2448
PF,0.319424
PF,0.484512
PF,0.714016
PF,0.333312
PF,1.224128
PF,0.649536
PF,0.630432
PF,0.663104
PF,1.258432
PF,1.225568
PF,1.2464
PF,1.24
PF,1.2464
PF,0.74096
PF,1.2448
PF,1.2448
PF,1.28368
PF,1.2448
PF,1.20752
PF,1.2448
PF,0.319424
PF,0.484512
PF,0.700512
PF,0.333312
PF,1.272384
PF,0.649536
PF,0.611328
PF,0.6672
PF,1.2464
PF,1.251648
PF,1.2464
PF,1.259104
PF,1.2464
PF,0.794848
PF,1.2448
PF,1.2448
PF,1.20752
PF,1.2448
PF,1.28368
PF,1.2448
PF,0.305536
PF,0.494368
PF,0.714016
PF,0.333312
PF,1.223744
PF,0.649536
PF,0.630432
PF,0.663104
PF,1.234368
PF,1.24656
PF,1.2464
PF,1.24
PF,1.2464
PF,0.7544
PF,1.2448
PF,1.2448
PF,1.28368
PF,1.2448
PF,1.20752
PF,1.2448
PF,0.319424
PF,0.484512
PF,0.714016
PF,0.333312
PF,1.247584
PF,0.630432
PF,0.630432
PF,0.6672
PF,1.2464
PF,1.26752
PF,1.2464
PF,1.24
PF,1.2464
PF,0.754432
PF,1.2448
PF,1.2448
PF,1.20752
PF,1.2448
PF,1.28368
PF,1.2448
PF,0.319424
PF,0.48448
PF,0.700544
PF,0.333312
PF,1.272384
PF,0.649536
PF,0.649536
PF,0.644
PF,1.2464
PF,1.233536
PF,1.2464
PF,1.24
PF,1.2464
PF,0.727488
PF,1.2448
PF,1.2448
PF,1.28368
PF,1.2448
PF,1.20752
PF,1.2448
PF,0.31248
PF,0.4944
PF,0.714016
PF,0.33328
PF,1.223808
PF,0.649536
PF,0.611328
PF,0.6672
PF,1.246432
PF,1.246528
PF,1.2464
PF,1.24
PF,1.2464
PF,0.794848
PF,1.2448
PF,1.2448
PF,1.20752
PF,1.2448
PF,1.28368
PF,1.2448
PF,0.31248
PF,0.48448
PF,0.700512
PF,0.333312
PF,1.272416
PF,0.630432
PF,0.630432
PF,0.6672
PF,1.265312
PF,1.238592
PF,1.2464
PF,1.259104
PF,1.2464
PF,0.767904
PF,1.2448
PF,1.2448
PF,1.28368
PF,1.2448
PF,1.20752
PF,1.2448
PF,0.319424
PF,0.484512
PF,0.714016
PF,0.333312
PF,1.247616
PF,0.649536
PF,0.611328
PF,0.6672
PF,1.246432
PF,1.246528
PF,1.2464
PF,1.24
PF,1.2464
PF,0.754432
PF,1.2448
PF,1.2448
PF,1.20752
PF,1.2448
PF,1.28368
PF,1.2448
PF,0.319424
PF,0.4944
PF,0.700544
PF,0.333312
PF,1.247328
PF,0.649536
PF,0.649536
PF,0.659008
PF,1.23952
PF,1.233504
PF,1.2464
PF,1.24
PF,1.2464
PF,0.727488
PF,1.2448
PF,1.2448
PF,1.28368
PF,1.2448
PF,1.20752
PF,1.2448
PF,0.319424
PF,0.48448
PF,0.714016
PF,0.333312
PF,1.223808
PF,0.649536
PF,0.611296
PF,0.6672
PF,1.234368
PF,1.259552
PF,1.2464
PF,1.24
PF,1.2464
PF,0.80832
PF,1.2448
PF,1.2448
PF,1.20752
PF,1.2448
PF,1.28368
PF,1.2448
PF,0.31248
PF,0.484512
PF,0.714016
PF,0.333312
PF,1.27264
PF,0.630368
PF,0.630432
PF,0.6672
PF,1.2464
PF,1.246528
PF,1.2464
PF,1.24
PF,1.2464
PF,0.754368
PF,1.2448
PF,1.2448
PF,1.28368
PF,1.2448
PF,1.20752
PF,1.2448
PF,0.319424
PF,0.494336
PF,0.700544
PF,0.333312
PF,1.247264
PF,0.649536
PF,0.630432
PF,0.648096
PF,1.258432
PF,1.246528
PF,1.2464
PF,1.24
PF,1.2464
PF,0.767904
PF,1.2448
PF,1.2448
PF,1.20752
PF,1.2448
PF,1.28368
PF,1.2448
PF,0.319424
PF,0.484512
PF,0.713984
PF,0.333312
PF,1.22416
PF,0.630432
PF,0.611328
PF,0.671296
PF,1.25328
PF,1.267488
PF,1.2464
PF,1.24
PF,1.2464
PF,0.754432
PF,1.2448
PF,1.2448
PF,1.28368
PF,1.2448
PF,1.20752
PF,1.2448
PF,0.319424
PF,0.484512
PF,0.700544
PF,0.333312
PF,1.272416
PF,0.66864
PF,0.630432
PF,0.659008
PF,1.227488
PF,1.246528
PF,1.2464
PF,1.24
PF,1.2464
PF,0.794848
PF,1.2448
PF,1.2448
PF,1.20752
PF,1.2448
PF,1.28368
PF,1.2448
PF,0.305536
PF,0.4944
PF,0.714016
PF,0.33328
PF,1.223744
PF,0.630432
PF,0.630432
PF,0.6672
PF,1.2464
PF,1.241408
PF,1.2464
PF,1.24
PF,1.2464
PF,0.781376
PF,1.2448
PF,1.2448
PF,1.28368
PF,1.2448
PF,1.20752
PF,1.2448
PF,0.319424
PF,0.484512
PF,0.713952
PF,0.333312
PF,1.247872
PF,0.649536
PF,0.630432
PF,0.663104
PF,1.246464
PF,1.246528
PF,1.2464
PF,1.24
PF,1.2464
PF,0.74096
PF,1.2448
PF,1.2448
PF,1.20752
PF,1.2448
PF,1.28368
PF,1.2448
PF,0.319424
PF,0.484512
PF,0.700544
PF,0.333312
PF,1.272096
PF,0.649536
PF,0.630432
PF,0.663104
PF,1.258464
PF,1.217632
PF,1.2464
PF,1.24
PF,1.2464
PF,0.767904
PF,1.2448
PF,1.2448
PF,1.28368
PF,1.2448
PF,1.20752
PF,1.2448
PF,0.31248
PF,0.4944
PF,0.714016
PF,0.333312
PF,1.247328
PF,0.649536
PF,0.611328
PF,0.6672
PF,1.234368
PF,1.259552
PF,1.2464
PF,1.24
PF,1.2464
PF,0.781376
PF,1.2448
PF,1.2448
PF,1.245696
PF,1.2448
PF,1.295552
PF,1.2448
PF,0.319424
PF,0.484512
PF,0.700544
PF,0.333312
PF,1.249216
PF,0.630432
PF,0.63264
PF,0.6672
PF,1.246432
PF,1.246528
PF,1.2464
PF,1.24
PF,1.2464
PF,0.754432
PF,1.2448
PF,1.2448
PF,1.2464
PF,1.2448
PF,1.2464
PF,1.2448
PF,0.298592
PF,0.484512
PF,0.714016
PF,0.340256
PF,1.247232
PF,0.649536
PF,0.630432
PF,0.648096
PF,1.258432
PF,1.246592
PF,1.2464
PF,1.24
PF,1.2464
PF,0.781376
PF,1.2448
PF,1.2448
PF,1.2464
PF,1.2448
PF,1.2464
PF,1.2448
PF,0.319424
PF,0.4944
PF,0.714016
PF,0.326368
PF,1.246336
PF,0.630432
PF,0.630432
PF,0.6672
PF,1.25328
PF,1.246528
PF,1.2464
PF,1.24
PF,1.2464
PF,0.794848
PF,1.2448
PF,1.2448
PF,1.2464
PF,1.2448
PF,1.2464
PF,1.2448
PF,0.319424
PF,0.484512
PF,0.700544
PF,0.333312
PF,1.249536
PF,0.649536
PF,0.630432
PF,0.663104
PF,1.244672
PF,1.246528
PF,1.2464
PF,1.24
PF,1.2464
PF,0.714016
PF,1.2448
PF,1.2448
PF,1.2464
PF,1.2448
PF,1.2464
PF,1.2448
PF,0.31248
PF,0.484512
PF,0.713984
PF,0.340224
PF,1.247936
PF,0.649536
PF,0.611328
PF,0.663104
PF,1.24816
PF,1.246624
PF,1.2464
PF,1.24
PF,1.2464
PF,0.74096
PF,1.2448
PF,1.2448
PF,1.2464
PF,1.2448
PF,1.2464
PF,1.2448
PF,0.319424
PF,0.4944
PF,0.714016
PF,0.326368
PF,1.246688
PF,0.649536
PF,0.6248
PF,0.667136
PF,1.220608
PF,1.246528
PF,1.2464
PF,1.239936
PF,1.2464
PF,0.754368
PF,1.2448
PF,1.2448
PF,1.2464
PF,1.2448
PF,1.2464
PF,1.2448
PF,0.31248
PF,0.484448
PF,0.700544
PF,0.340256
PF,1.248832
PF,0.649536
PF,0.630432
PF,0.648096
PF,1.272224
PF,1.24656
PF,1.2464
PF,1.259104
PF,1.2464
PF,0.767904
PF,1.2448
PF,1.2448
PF,1.2464
PF,1.2448
PF,1.2464
PF,1.2448
PF,0.319424
PF,0.484512
PF,0.714016
PF,0.333312
PF,1.247872
PF,0.649472
PF,0.630432
PF,0.663104
PF,1.227488
PF,1.254464
PF,1.2464
PF,1.24
PF,1.2464
PF,0.740896
PF,1.2448
PF,1.2448
PF,1.2464
PF,1.2448
PF,1.2464
PF,1.2448
PF,0.319424
PF,0.4944
PF,0.700544
PF,0.333312
PF,1.24704
PF,0.630432
PF,0.630432
PF,0.6672
PF,1.265344
PF,1.238592
BATS,1.141568
BATS,1.1176
BATS,1.138656
BATS,1.138688
BATS,1.142112
BATS,1.146752
BATS,1.15024
BATS,1.117376
BATS,1.139232
BATS,1.14992
BATS,1.065024
BATS,1.07296
BATS,1.086976
BATS,1.071328
BATS,1.06352
BATS,1.063936
BATS,1.108192
BATS,1.097984
BATS,1.162336
BATS,1.071552
BATS,1.249472
BATS,1.253888
BATS,1.263168
BATS,1.247424
BATS,1.249728
BATS,1.251488
BATS,1.243264
BATS,1.281184
BATS,1.258304
BATS,1.248896
BATS,1.226816
BATS,1.220128
BATS,1.224
BATS,1.217568
BATS,1.239808
BATS,1.286016
BATS,1.253504
BATS,1.26384
BATS,1.27072
BATS,1.262784
BATS,1.23856
BATS,1.249728
BATS,1.225856
BATS,1.226272
BATS,1.249792
BATS,1.24864
BATS,1.237632
BATS,1.248448
BATS,1.23872
BATS,1.248576
BATS,1.214784
BATS,1.227488
BATS,1.220288
BATS,1.2296
BATS,1.22176
BATS,1.274784
BATS,1.270464
BATS,1.276352
BATS,1.261408
BATS,1.28992
BATS,1.255488
BATS,1.250176
BATS,1.261344
BATS,1.286688
BATS,1.249984
BATS,1.24896
BATS,1.259872
BATS,1.249024
BATS,1.262656
BATS,1.24864
BATS,1.229792
BATS,1.216704
BATS,1.229632
BATS,1.223584
BATS,1.227392
BATS,1.23808
BATS,1.232992
BATS,1.241056
BATS,1.238016
BATS,1.2496
BATS,1.244032
BATS,1.259552
BATS,1.257408
BATS,1.216448
BATS,1.23824
BATS,1.248576
BATS,1.254304
BATS,1.248896
BATS,1.24208
BATS,1.248704
BATS,1.231232
BATS,1.239744
BATS,1.230496
BATS,1.239328
BATS,1.239584
BATS,1.262848
BATS,1.262976
BATS,1.254016
BATS,1.256416
BATS,1.241088
BATS,1.249664
BATS,1.246432
BATS,1.244768
BATS,1.275616
BATS,1.25616
BATS,1.248704
BATS,1.239296
BATS,1.24896
BATS,1.248512
BATS,1.248512
BATS,1.22912
BATS,1.225536
BATS,1.220512
BATS,1.22624
BATS,1.221568
BATS,1.271296
BATS,1.26432
BATS,1.265472
BATS,1.27232
BATS,1.281024
BATS,1.261344
BATS,1.24608
BATS,1.242336
BATS,1.253728
BATS,1.255552
BATS,1.24896
BATS,1.249376
BATS,1.248384
BATS,1.24672
BATS,1.248384
BATS,1.213824
BATS,1.210272
BATS,1.223648
BATS,1.215936
BATS,1.227744
BATS,1.243072
BATS,1.244864
BATS,1.253728
BATS,1.259456
BATS,1.2504
BATS,1.250048
BATS,1.249632
BATS,1.2576
BATS,1.252192
BATS,1.255232
BATS,1.24864
BATS,1.245568
BATS,1.248704
BATS,1.240896
BATS,1.248448
BATS,1.217888
BATS,1.221504
BATS,1.2064
BATS,1.211968
BATS,1.215552
BATS,1.246912
BATS,1.255488
BATS,1.258496
BATS,1.24912
BATS,1.240032
BATS,1.255424
BATS,1.25088
BATS,1.250944
BATS,1.245824
BATS,1.23216
BATS,1.248704
BATS,1.252128
